GroupContents,singleContents,CLCT_ITEM,CLCT_LSL,CLCT_USL,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,selfDiag1
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,1,0,0,0,0,0,0,0,
Voltages,Cell1 Voltage,WMAMTQ4404,3.575,3.605,V,4,CellVoltage1,1,1,0,0,0,0,0,0,0,
Voltages,Cell2 Voltage,WMAMTQ4405,3.575,3.605,V,4,CellVoltage2,1,1,0,0,0,0,0,0,0,
Voltages,Cell3 Voltage,WMAMTQ4406,3.575,3.605,V,4,CellVoltage3,1,1,0,0,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMAMTQ4407,0,5,mV,3,CellVoltageDeviation,1,1,0,0,0,0,0,0,0,
Voltages,Module Voltage,WMAMTQ4408,10.73,10.83,V,4,ModuleVoltage,1,1,0,0,0,0,0,0,0,
Cell Dev,Cell Voltage Devation Form Cell Inspection,WMAMTQ4416,-5,5,mV,1,CellVoltageDeviation_FromCellInspection,1,1,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMAMTQ4401,7.94,12.12,kOhm,3,ThermistorCheck1,1,1,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMAMTQ4402,7.94,12.12,kOhm,3,ThermistorCheck2,1,1,0,0,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMAMTQ4403,-999,999,C,3,ThermistorDeviation,1,1,0,0,0,0,0,0,0,
DCIR,Cell1 Discharge DCIR,WMAMTQ4409,0.275,0.4,mOhm,3,Cell1_DCIR,1,1,0,0,0,0,0,0,0,
DCIR,Cell2 Discharge DCIR,WMAMTQ4410,0.275,0.4,mOhm,3,Cell2_DCIR,1,1,0,0,0,0,0,0,0,
DCIR,Cell3 Discharge DCIR,WMAMTQ4411,0.275,0.4,mOhm,3,Cell3_DCIR,1,1,0,0,0,0,0,0,0,
DCIR,Cell Discharge DCIR Ratio,WMAMTQ4412,100,135,%,3,Cell_DCIR_Ratio,1,1,0,0,0,0,0,0,0,
DCIR,Cell Discharge DCIR Deviation,WMAMTQ4413,0,0.04,mOhm,3,Cell_DCIR_Deviation,1,1,0,0,0,0,0,0,0,
DCIR,Cell DCIR Inner Verification (OutMax-InMax),WMAMTQ4417,-99,99,mOhm,4,DCIR_Inner_Verification,1,1,0,0,0,0,0,0,0,
DCIR,Cell DCIR Outer Verification (OutMax-OutMin),WMAMTQ4418,-99,99,mOhm,4,DCIR_Outer_Verification,1,1,0,0,0,0,0,0,0,
DCIR,Module Discharge DCIR,WMAMTQ4414,0.95,1.2,mOhm,3,Module_DCIR,1,1,0,0,0,0,0,0,0,
DCIR,New Module Temp Check2,WMAMTQ4415,-999,999,C,3,DCIR_TempNewCheck2,1,1,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,1,0,0,0,0,0,0,
Voltages,Cell1 Voltage,WMAMTQ4404,3.575,3.605,V,4,CellVoltage1,1,0,1,0,0,0,0,0,0,
Voltages,Cell2 Voltage,WMAMTQ4405,3.575,3.605,V,4,CellVoltage2,1,0,1,0,0,0,0,0,0,
Voltages,Cell3 Voltage,WMAMTQ4406,3.575,3.605,V,4,CellVoltage3,1,0,1,0,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMAMTQ4407,0,5,mV,3,CellVoltageDeviation,1,0,1,0,0,0,0,0,0,
Voltages,Module Voltage,WMAMTQ4408,10.73,10.83,V,4,ModuleVoltage,1,0,1,0,0,0,0,0,0,
Cell Dev,Cell Voltage Devation Form Cell Inspection,WMAMTQ4416,-5,5,mV,1,CellVoltageDeviation_FromCellInspection,1,0,1,0,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMAMTQ4401,7.94,12.12,kOhm,3,ThermistorCheck1,1,0,1,0,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMAMTQ4402,7.94,12.12,kOhm,3,ThermistorCheck2,1,0,1,0,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMAMTQ4403,-999,999,C,3,ThermistorDeviation,1,0,1,0,0,0,0,0,0,
DCIR,Cell1 Discharge DCIR,WMAMTQ4409,0.275,0.4,mOhm,3,Cell1_DCIR,1,0,1,0,0,0,0,0,0,
DCIR,Cell2 Discharge DCIR,WMAMTQ4410,0.275,0.4,mOhm,3,Cell2_DCIR,1,0,1,0,0,0,0,0,0,
DCIR,Cell3 Discharge DCIR,WMAMTQ4411,0.275,0.4,mOhm,3,Cell3_DCIR,1,0,1,0,0,0,0,0,0,
DCIR,Cell Discharge DCIR Ratio,WMAMTQ4412,100,135,%,3,Cell_DCIR_Ratio,1,0,1,0,0,0,0,0,0,
DCIR,Cell Discharge DCIR Deviation,WMAMTQ4413,0,0.04,mOhm,3,Cell_DCIR_Deviation,1,0,1,0,0,0,0,0,0,
DCIR,Cell DCIR Inner Verification (OutMax-InMax),WMAMTQ4417,-99,99,mOhm,4,DCIR_Inner_Verification,1,0,1,0,0,0,0,0,0,
DCIR,Cell DCIR Outer Verification (OutMax-OutMin),WMAMTQ4418,-99,99,mOhm,4,DCIR_Outer_Verification,1,0,1,0,0,0,0,0,0,
DCIR,Module Discharge DCIR,WMAMTQ4414,0.95,1.2,mOhm,3,Module_DCIR,1,0,1,0,0,0,0,0,0,
DCIR,New Module Temp Check2,WMAMTQ4415,-999,999,C,3,DCIR_TempNewCheck2,1,0,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,1,0,0,0,0,0,
H/W Version,H/W Version,WMPMTQ4401,777676,777676,,0,HW_Version,1,0,0,1,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMPMTQ4402,17,31,C,0,ThermistorCheck1,1,0,0,1,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMPMTQ4403,17,31,C,0,ThermistorCheck2,1,0,0,1,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMPMTQ4404,-2,2,C,0,ThermistorDeviation,1,0,0,1,0,0,0,0,0,
Module Temperature,PCB Temp,WMPMTQ4405,13,36,C,0,PCBTemp,1,0,0,1,0,0,0,0,0,
Module Temperature,Ambient Temperature,WMPMTQ4450,20,29,C,0,AmbientTemperature,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing On Status Check,WMPMTQ4440,10101,10101,,0,CellEvenBalancingOn,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing Off Status Check,WMPMTQ4441,0,0,,0,CellEvenBalancingOff,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing On Status Check,WMPMTQ4442,101010,101010,,0,CellOddBalancingOn,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing Off Status Check,WMPMTQ4443,0,0,,0,CellOddBalancingOff,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 1 Check,WMPMTQ4444,30,75,mV,1,HighContactResist1,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 2 Check,WMPMTQ4445,30,68,mV,1,HighContactResist2,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 3 Check,WMPMTQ4446,30,66,mV,1,HighContactResist3,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 4 Check,WMPMTQ4447,30,62,mV,1,HighContactResist4,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 5 Check,WMPMTQ4448,30,58,mV,1,HighContactResist5,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 6 Check,WMPMTQ4449,30,61,mV,1,HighContactResist6,1,0,0,1,0,0,0,0,0,
Voltages,Cell Voltage Verify_Cell #3/4 Check,WMPMTQ4459,-22,6,mV,1,Cell_Voltage_Verify_Cell_3_4_Check,1,0,0,1,0,0,0,0,0,
Voltages,Cell Voltage Verify_Cell #5/6 Check,WMPMTQ4460,-22,6,mV,1,Cell_Voltage_Verify_Cell_5_6_Check,1,0,0,1,0,0,0,0,0,
Voltages,Cell1 Voltage,WMPMTQ4406,3.545,3.595,V,4,CellVoltage1,1,0,0,1,0,0,0,0,0,
Voltages,Cell2 Voltage,WMPMTQ4407,3.545,3.595,V,4,CellVoltage2,1,0,0,1,0,0,0,0,0,
Voltages,Cell3 Voltage,WMPMTQ4408,3.545,3.595,V,4,CellVoltage3,1,0,0,1,0,0,0,0,0,
Voltages,Cell4 Voltage,WMPMTQ4409,3.545,3.595,V,4,CellVoltage4,1,0,0,1,0,0,0,0,0,
Voltages,Cell5 Voltage,WMPMTQ4410,3.545,3.595,V,4,CellVoltage5,1,0,0,1,0,0,0,0,0,
Voltages,Cell6 Voltage,WMPMTQ4411,3.545,3.595,V,4,CellVoltage6,1,0,0,1,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMPMTQ4412,0,15,mV,1,CellVoltageDeviation,1,0,0,1,0,0,0,0,0,
Voltages,Daisy Chain,WMPMTQ4413,3.894,4.106,V,4,DaisyChain,1,0,0,1,0,0,0,0,0,
Voltages,Module Voltage,WMPMTQ4414,21.029,21.457,V,3,ModuleVoltage,1,0,0,1,0,0,0,0,0,
DCIR,Cell1 Discharge DCIR,WMPMTQ4415,0.62,0.77,mOhm,4,Cell1_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,Cell2 Discharge DCIR,WMPMTQ4416,0.62,0.77,mOhm,4,Cell2_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,Cell3 Discharge DCIR,WMPMTQ4417,0.62,0.76,mOhm,4,Cell3_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,Cell4 Discharge DCIR,WMPMTQ4418,0.62,0.76,mOhm,4,Cell4_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,Cell5 Discharge DCIR,WMPMTQ4419,0.62,0.77,mOhm,4,Cell5_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,Cell6 Discharge DCIR,WMPMTQ4420,0.62,0.77,mOhm,4,Cell6_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,Cell Discharge DCIR Ratio,WMPMTQ4421,100,113,%,1,Cell_DCIR_Ratio,1,0,0,1,0,0,0,0,0,
DCIR,Cell Discharge DCIR Deviation,WMPMTQ4422,0,0.1,mOhm,4,Cell_DCIR_Deviation,1,0,0,1,0,0,0,0,0,
DCIR,Cell DCIR Inner Verification (OutMax-InMax),WMPMTQ4496,-0.03,99,mOhm,4,DCIR_Inner_Verification,1,0,0,1,0,0,0,0,0,
DCIR,Cell DCIR Outer Verification (OutMax-OutMin),WMPMTQ4497,-99,0.07,mOhm,4,DCIR_Outer_Verification,1,0,0,1,0,0,0,0,0,
DCIR,Module Discharge DCIR,WMPMTQ4423,3.6,5,mOhm,3,Module_DCIR,1,0,0,1,0,0,0,0,0,
DCIR,New Module Temp Check2,WMPMTQ4452,-3,3,C,0,DCIR_TempNewCheck2,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Open Check,WMPMTQ4424,0,0,,0,BalanceSwitchOpen,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Short Check,WMPMTQ4425,0,0,,0,BalanceSwitchShort,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 1 Terminal Check,WMPMTQ4431,100,5000,mV,1,OpenWireDetect1,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 2 Terminal Check,WMPMTQ4432,100,5000,mV,1,OpenWireDetect2,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 3 Terminal Check,WMPMTQ4433,100,5000,mV,1,OpenWireDetect3,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 4 Terminal Check,WMPMTQ4434,100,5000,mV,1,OpenWireDetect4,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 5 Terminal Check,WMPMTQ4435,100,5000,mV,1,OpenWireDetect5,1,0,0,1,0,0,0,0,0,
CMC Test 2,Open Wire Detect Cell 6 Terminal Check,WMPMTQ4436,100,5000,mV,1,OpenWireDetect6,1,0,0,1,0,0,0,0,0,
CMC Test 2,Over Voltage Fault Check,WMPMTQ4437,0,0,,0,OverVoltFault,1,0,0,1,0,0,0,0,0,
CMC Test 2,Under Voltage Fault Check,WMPMTQ4438,0,0,,0,UnderVoltFault,1,0,0,1,0,0,0,0,0,
CMC Test (SM01),Cell Voltage OV/UV_Cell #1/3/5 OV Fault Check_EVEN Active,WMPMTQ4453,101010,101010,,0,Cell_Voltage_OV_UV_Cell_1_3_5_OV_Fault_Check,1,0,0,1,0,0,0,0,0,
CMC Test (SM01),Cell Voltage OV/UV_Cell #2/4/6 UV Fault Check_EVEN Active,WMPMTQ4454,10101,10101,,0,Cell_Voltage_OV_UV_Cell_2_4_6_UV_Fault_Check,1,0,0,1,0,0,0,0,0,
CMC Test (SM01),Cell Voltage OV/UV_Cell #1/3/5 UV Fault Check_ODD Active,WMPMTQ4455,101010,101010,,0,Cell_Voltage_OV_UV_Cell_1_3_5_UV_Fault_Check,1,0,0,1,0,0,0,0,0,
CMC Test (SM01),Cell Voltage OV/UV_Cell #2/4/6 OV Fault Check_ODD Active,WMPMTQ4456,10101,10101,,0,Cell_Voltage_OV_UV_Cell_2_4_6_OV_Fault_Check,1,0,0,1,0,0,0,0,0,
CMC Test (SM01),Cell Voltage OV/UV_All Off UV Fault Check,WMPMTQ4457,0,0,,0,Cell_Voltage_OV_UV_All_Off_UV_Fault_Check,1,0,0,1,0,0,0,0,0,
